x,y,demand
1,0,3
4,0,5
7,0,4
11,0,2
23,0,2
41,0,7
44,0,3
53,0,7
65,0,9
67,0,3
72,0,7
76,0,7
81,0,6
89,0,1
91,0,4
93,0,6
103,0,1
109,0,1
111,0,7
119,0,8
136,0,4
140,0,9
174,0,1
181,0,3
195,0,1
201,0,5
206,0,5
214,0,2
221,0,6
227,0,10
236,0,7
237,0,3
243,0,6
245,0,5
254,0,4
261,0,10
263,0,7
281,0,5
282,0,4
284,0,10
289,0,10
291,0,4
292,0,10
297,0,7
298,0,4
1,1,1
8,1,2
9,1,2
20,1,4
36,1,1
42,1,9
43,1,9
48,1,5
55,1,5
58,1,5
61,1,9
69,1,5
70,1,6
96,1,8
99,1,5
102,1,4
104,1,2
111,1,10
112,1,8
120,1,5
123,1,1
136,1,5
146,1,2
149,1,7
165,1,8
175,1,7
185,1,2
196,1,8
202,1,9
203,1,6
212,1,5
215,1,5
216,1,5
219,1,10
221,1,9
223,1,8
226,1,10
237,1,8
242,1,2
245,1,9
247,1,7
249,1,10
250,1,9
269,1,6
277,1,3
278,1,8
280,1,6
283,1,6
297,1,1
299,1,5
3,2,6
9,2,1
19,2,5
25,2,8
49,2,6
62,2,4
66,2,6
67,2,4
68,2,4
74,2,3
86,2,2
90,2,4
102,2,5
115,2,4
122,2,3
130,2,2
156,2,1
163,2,7
183,2,5
186,2,10
189,2,3
197,2,4
205,2,10
210,2,1
217,2,10
220,2,6
224,2,1
228,2,6
243,2,4
256,2,4
258,2,1
269,2,3
275,2,1
279,2,8
290,2,10
295,2,5
5,3,8
23,3,7
40,3,8
46,3,9
52,3,6
70,3,6
83,3,9
85,3,9
87,3,9
93,3,2
95,3,8
98,3,5
99,3,5
123,3,7
124,3,5
126,3,4
129,3,2
130,3,1
136,3,3
137,3,10
142,3,6
150,3,10
151,3,2
158,3,1
162,3,10
171,3,4
172,3,3
174,3,5
184,3,1
191,3,5
196,3,5
201,3,7
212,3,8
213,3,2
222,3,1
224,3,6
229,3,2
230,3,9
231,3,1
232,3,10
238,3,7
239,3,8
240,3,3
241,3,9
256,3,9
258,3,2
268,3,3
277,3,6
291,3,5
3,4,10
10,4,9
11,4,8
21,4,4
29,4,1
35,4,5
43,4,4
45,4,5
46,4,1
49,4,5
51,4,10
54,4,2
61,4,7
62,4,4
75,4,2
79,4,8
86,4,2
92,4,9
102,4,6
103,4,5
112,4,10
121,4,10
131,4,5
134,4,9
136,4,4
146,4,4
150,4,7
159,4,7
161,4,10
179,4,3
180,4,1
186,4,6
193,4,9
200,4,7
201,4,3
205,4,4
215,4,5
227,4,6
228,4,4
233,4,9
248,4,8
253,4,4
276,4,7
279,4,2
285,4,6
293,4,5
294,4,5
297,4,4
0,5,2
12,5,9
14,5,7
35,5,5
45,5,4
46,5,1
50,5,10
67,5,8
76,5,1
78,5,8
82,5,8
92,5,5
94,5,10
95,5,1
100,5,1
105,5,2
114,5,10
115,5,8
123,5,3
124,5,8
141,5,2
142,5,5
143,5,2
151,5,3
158,5,8
176,5,9
183,5,4
191,5,10
199,5,10
201,5,8
204,5,3
206,5,6
213,5,7
215,5,4
224,5,6
232,5,1
246,5,10
247,5,7
254,5,9
257,5,8
258,5,6
269,5,4
271,5,5
274,5,2
279,5,10
284,5,3
291,5,1
294,5,7
297,5,2
299,5,7
5,6,2
12,6,8
15,6,3
22,6,8
30,6,2
31,6,3
38,6,3
58,6,1
65,6,3
66,6,7
69,6,5
75,6,5
76,6,1
79,6,5
96,6,1
108,6,4
112,6,7
122,6,9
128,6,2
132,6,2
136,6,3
138,6,4
139,6,8
140,6,10
147,6,7
153,6,8
154,6,4
156,6,1
159,6,3
162,6,4
168,6,1
169,6,3
173,6,4
175,6,5
177,6,4
195,6,4
205,6,1
207,6,8
217,6,1
218,6,8
225,6,9
232,6,3
233,6,1
243,6,9
244,6,7
246,6,1
252,6,3
255,6,10
262,6,2
267,6,5
275,6,10
276,6,1
2,7,5
8,7,1
16,7,2
20,7,4
21,7,6
24,7,6
25,7,5
26,7,5
27,7,5
33,7,4
46,7,5
64,7,5
67,7,5
71,7,6
73,7,1
77,7,3
79,7,4
98,7,4
102,7,6
107,7,2
109,7,3
121,7,7
122,7,3
125,7,5
132,7,7
136,7,6
138,7,2
142,7,1
146,7,2
163,7,1
168,7,4
175,7,7
179,7,8
183,7,1
192,7,9
193,7,3
202,7,1
203,7,10
207,7,7
215,7,4
218,7,5
226,7,7
237,7,2
238,7,8
239,7,2
248,7,1
251,7,5
252,7,5
254,7,1
256,7,9
260,7,9
261,7,10
266,7,10
267,7,6
268,7,9
293,7,7
294,7,4
19,8,9
20,8,10
24,8,6
30,8,6
41,8,2
44,8,4
54,8,10
73,8,5
78,8,8
82,8,6
86,8,10
91,8,9
94,8,5
107,8,7
112,8,2
135,8,4
150,8,5
153,8,6
154,8,9
157,8,4
159,8,4
170,8,6
176,8,7
178,8,2
186,8,5
187,8,1
194,8,6
195,8,7
215,8,4
216,8,10
224,8,5
227,8,3
229,8,10
241,8,4
244,8,5
253,8,9
255,8,2
264,8,4
268,8,10
272,8,9
277,8,3
283,8,7
286,8,9
289,8,2
299,8,4
0,9,10
10,9,4
19,9,10
23,9,9
36,9,4
37,9,1
38,9,5
40,9,2
64,9,8
73,9,2
81,9,4
82,9,1
84,9,2
88,9,1
95,9,4
111,9,9
127,9,1
128,9,5
137,9,10
138,9,3
139,9,9
142,9,6
159,9,1
160,9,7
163,9,5
168,9,1
169,9,3
180,9,3
187,9,9
188,9,3
190,9,8
202,9,3
203,9,6
205,9,7
208,9,10
210,9,2
214,9,8
215,9,9
222,9,3
250,9,3
265,9,7
270,9,10
288,9,2
291,9,6
297,9,3
298,9,1
299,9,5
1,10,5
2,10,6
6,10,7
8,10,3
31,10,2
50,10,2
51,10,7
66,10,4
67,10,8
68,10,1
79,10,3
80,10,5
86,10,4
87,10,5
97,10,6
98,10,4
99,10,4
102,10,8
108,10,10
116,10,8
118,10,2
122,10,6
124,10,8
125,10,7
138,10,7
142,10,5
148,10,3
153,10,8
165,10,6
175,10,6
184,10,9
189,10,10
190,10,4
195,10,8
203,10,1
214,10,5
221,10,4
226,10,2
228,10,1
229,10,9
235,10,7
246,10,9
249,10,5
251,10,3
263,10,10
269,10,8
278,10,9
294,10,1
4,11,1
10,11,5
12,11,6
18,11,10
20,11,7
22,11,3
28,11,7
30,11,10
31,11,7
32,11,6
47,11,10
49,11,7
50,11,9
55,11,10
58,11,6
64,11,6
69,11,6
74,11,5
75,11,1
77,11,5
84,11,7
88,11,3
93,11,8
97,11,3
105,11,4
109,11,6
126,11,7
127,11,6
139,11,3
140,11,1
152,11,9
158,11,3
168,11,10
169,11,9
174,11,5
180,11,10
181,11,1
183,11,10
184,11,9
190,11,2
197,11,1
202,11,4
203,11,5
221,11,2
231,11,7
244,11,10
266,11,2
267,11,1
275,11,10
294,11,6
296,11,4
297,11,9
3,12,10
17,12,8
18,12,5
19,12,2
34,12,5
36,12,7
37,12,6
42,12,1
51,12,3
53,12,6
59,12,9
64,12,1
65,12,7
80,12,1
83,12,4
88,12,9
104,12,10
106,12,2
114,12,6
123,12,5
141,12,4
148,12,8
154,12,7
164,12,5
168,12,4
169,12,2
170,12,3
174,12,9
202,12,9
206,12,7
208,12,7
210,12,5
212,12,5
213,12,2
224,12,6
237,12,5
244,12,3
255,12,5
256,12,8
261,12,9
262,12,7
277,12,6
279,12,2
282,12,9
287,12,1
289,12,3
295,12,4
299,12,2
1,13,2
21,13,5
28,13,3
30,13,7
33,13,9
48,13,3
50,13,4
58,13,4
60,13,1
63,13,9
66,13,2
67,13,7
69,13,3
72,13,3
76,13,2
91,13,9
97,13,4
99,13,4
111,13,10
115,13,9
118,13,10
123,13,4
136,13,2
159,13,6
161,13,4
167,13,6
168,13,7
174,13,2
177,13,3
178,13,5
185,13,1
191,13,7
194,13,7
210,13,1
212,13,2
215,13,6
224,13,4
226,13,9
232,13,8
234,13,5
243,13,1
253,13,5
256,13,9
261,13,1
267,13,1
271,13,2
275,13,2
282,13,10
292,13,5
294,13,10
295,13,3
298,13,8
0,14,8
1,14,7
3,14,7
10,14,1
21,14,3
25,14,1
28,14,6
30,14,1
51,14,3
61,14,9
62,14,2
103,14,10
107,14,6
108,14,8
117,14,5
136,14,5
160,14,9
161,14,10
183,14,5
185,14,2
200,14,4
201,14,4
209,14,7
215,14,3
227,14,2
229,14,1
253,14,10
258,14,2
264,14,6
266,14,10
270,14,8
280,14,10
293,14,1
294,14,4
15,15,8
16,15,9
20,15,3
23,15,10
24,15,2
29,15,5
32,15,7
64,15,10
66,15,9
70,15,5
85,15,3
106,15,4
110,15,8
113,15,1
119,15,1
120,15,7
121,15,8
134,15,2
137,15,7
143,15,7
155,15,5
158,15,10
165,15,5
166,15,1
169,15,9
171,15,4
176,15,8
186,15,8
191,15,5
202,15,7
204,15,2
218,15,2
226,15,4
227,15,5
252,15,7
255,15,2
256,15,1
262,15,6
278,15,7
280,15,1
295,15,7
296,15,6
1,16,6
6,16,3
11,16,10
16,16,3
22,16,6
31,16,1
38,16,7
59,16,7
66,16,7
75,16,8
81,16,5
85,16,2
87,16,6
94,16,4
101,16,6
106,16,3
116,16,1
119,16,4
129,16,2
132,16,9
147,16,8
148,16,1
154,16,2
158,16,9
165,16,8
179,16,6
180,16,6
186,16,3
193,16,10
197,16,10
199,16,3
205,16,6
209,16,1
211,16,9
216,16,10
218,16,10
232,16,2
240,16,2
248,16,6
249,16,7
252,16,3
257,16,4
266,16,10
269,16,9
279,16,9
285,16,3
293,16,2
295,16,2
2,17,7
7,17,10
10,17,9
18,17,5
20,17,1
26,17,10
34,17,6
41,17,10
46,17,6
59,17,4
60,17,6
72,17,3
80,17,3
117,17,7
118,17,9
122,17,4
126,17,6
127,17,10
139,17,2
140,17,9
141,17,8
147,17,10
148,17,10
152,17,2
158,17,1
171,17,10
177,17,9
179,17,1
183,17,3
188,17,3
191,17,4
196,17,2
199,17,3
204,17,3
206,17,2
208,17,6
219,17,7
220,17,8
222,17,8
223,17,2
227,17,5
233,17,7
235,17,2
237,17,1
258,17,10
260,17,10
263,17,7
266,17,3
274,17,5
293,17,8
297,17,2
4,18,5
5,18,1
8,18,5
11,18,2
12,18,4
14,18,7
18,18,8
19,18,5
27,18,7
36,18,2
42,18,5
49,18,3
55,18,1
58,18,2
68,18,8
69,18,7
72,18,4
82,18,1
91,18,5
93,18,2
106,18,2
112,18,4
113,18,9
117,18,4
118,18,5
121,18,3
126,18,6
127,18,8
131,18,1
148,18,7
157,18,8
175,18,6
178,18,9
179,18,8
189,18,7
199,18,7
205,18,7
212,18,9
220,18,4
226,18,7
229,18,6
243,18,10
253,18,3
258,18,7
259,18,9
267,18,2
269,18,5
277,18,6
287,18,2
290,18,6
299,18,4
25,19,8
35,19,4
37,19,10
42,19,3
50,19,7
61,19,5
64,19,6
69,19,10
73,19,7
80,19,1
89,19,1
90,19,4
98,19,6
107,19,4
113,19,10
126,19,1
132,19,10
137,19,10
139,19,1
152,19,10
155,19,1
161,19,10
166,19,4
170,19,2
177,19,5
184,19,6
186,19,1
189,19,7
193,19,6
196,19,5
197,19,6
212,19,7
221,19,9
224,19,7
233,19,1
234,19,6
235,19,1
244,19,8
245,19,1
246,19,9
255,19,6
257,19,8
263,19,1
273,19,5
275,19,6
281,19,7
293,19,1
299,19,1
0,20,10
9,20,1
12,20,1
22,20,2
27,20,5
37,20,2
49,20,9
71,20,9
79,20,3
86,20,10
87,20,10
